場所名稱,場所區域,場所地址,地點描述,LAT,LNG,緊急連絡電話,分機
高雄國賓大飯店,64000070,民生二路202號,1樓大廳櫃檯左側提款機旁,22.624054,120.290598,(07)2115201,2260
高雄市政府警察局總局,64000070,中正四路260號,市中路1樓大門會客室櫃檯旁,22.627883,120.290602,(07)2120800,
高雄展覽館股份有限公司,64000090,成功二路39號,高雄展覽館成功二路東邊入口處，服務台的後方。,22.608221,120.299449,(07)2131187,
高雄市前金區老人活動中心,64000070,文武一街65號1F,1樓大廳之大型書櫃旁,22.631464,120.293962,(07)2151115,
高雄市三民區第二衛生所,64000050,三民街222號2樓,位於千歲里里民活動中心大樓內,22.635297,120.290626,(07)2154156,
漢神名店百貨股份有限公司,64000070,成功一路266-1號,1F大廳服務台左側,22.619181,120.296345,(07)2157266,3166
高雄市政府勞工局勞工教育生活中心勞工博物館,64000070,中正四路261號6樓,展場開放空間,22.62713,120.289884,(07)2160509,
臺灣高雄地方法院民事執行處財稅大樓9樓,64000060,中正三路25號9樓,財稅大樓9樓由西側大門進入辦公室後右手側,22.630533,120.309997,(07)2161418,
臺灣高雄地方法院民事執行處財稅大樓10樓,64000060,中正三路25號10樓,大樓10樓進入提存所/登記處辦公室後左手側,22.630533,120.309997,(07)2161418,
臺灣高雄地方法院,64000070,市中一路171號,AED設置於市中一路大門進入後，法警室左方、志工服務台旁,22.626747,120.290455,(07)2161418,
臺灣高雄地方法院,64000070,河東路188號,"高雄地方法院河東路大門進入右側
聯合服務中心",22.626088,120.290101,(07)2161418,
臺灣高雄地方法院高雄簡易庭,64000070,河東路188號,高雄簡易庭進入後，1樓右側第二法庭,22.626138,120.290133,(07)2161418,
臺灣高雄地方法院鳳山辦公室,64000120,國泰路二段96號,"鳳山辦公室大門進入左側
法警室前方",22.619667,120.34871,(07)2161418,
漢來大飯店,64000070,成功一路266號,進入俱樂部，於健身中心櫃檯旁即可看見落地式AED設備與明顯標示。,22.619478,120.296487,(07)2161766,
漢來美食股份有限公司高雄分公司,64000070,成功一路266號,進入海港自助餐廳左側，於化妝室旁即可看見落地式AED設備與明顯標示。,22.618907,120.295918,(07)2161766,
漢來大飯店,64000070,成功一路266號,於服務中心櫃檯右後方辦公室內之左側總機組辦公室桌子，即可看到AED設備。,22.619478,120.296487,(07)2161766,
高雄市立中醫醫院,64000070,中華三路68號1-4樓部份樓層,本院三樓志工服務台旁,22.625416,120.294536,(07)2163186,601
愛之船服務中心(國賓站),64000070,中正四路211號5樓之3,愛河邊 國賓飯店前方,22.624699,120.289941,(07)2215844,
高雄市五福國中,64000080,五福一路12號,五福樓一樓玄關，總務處西側牆壁處,22.628932,120.317033,(07)2223036,
香港商世界健身事業有限公司高雄和平分公司,64000080,和平一路218號,飲料販賣機旁,22.630899,120.317875,(07)2223222,
高雄市文化中心,64000080,五福一路67號,駐警隊內,22.625798,120.31814,(07)2225136,8229或8926
靜和醫院,64000060,民族二路178號,4樓病房區,22.636187,120.313993,(07)2229612,
交通部臺灣鐵路管理局高雄運務段民族站,64000050,博惠里凱旋一路260號,售票口旁,22.637125,120.326005,(07)2231492,
交通部臺灣鐵路管理局高雄運務段科工館站,64000050,寶盛里大順三路307號,售票口旁,22.637145,120.325999,(07)2234778,
高雄市苓雅區凱旋國小,64000080,憲政路235號,前棟大樓的玄關(大門口),22.636486,120.320214,(07)2235181,
高雄市立高雄特殊教育學校,64000080,憲政路233巷2號,大門入口中庭右側靠近走廊處牆壁,22.635391,120.322529,(07)2235940,122
高雄市新興衛生所,64000060,中正三路25號4樓,服務台左前方,22.630582,120.31,(07)2294121,
福華大飯店股份有限公司高雄分公司,64000060,七賢一路311號,進門右側即可看見落地式AED裝備與明顯標示。,22.634005,120.30819,(07)2307737,
衛生福利部中央健康保險署高屏業務組,64000070,中正四路259號,1樓民眾等候區警衛台旁,22.627255,120.290366,(07)2315151,
高雄汽車客運公司南華站,64000050,南華路245號,進入候車室右側,22.638095,120.303565,(07)2355120,
謝外科醫院,64000050,河北一路330號,二樓病房區護理站旁,22.636807,120.303184,(07)2360121,
高雄市信義國小,64000060,中正三路32號,前棟行政大樓，玄關川堂。,22.631144,120.311038,(07)2365163,21
萬海航運股份有限公司高雄分公司,64000060,忠孝一路456號12樓,七賢一路及忠孝一路交叉路口12樓,22.634532,120.306632,(07)2369636,
國眾大飯店股份有限公司,64000050,建國二路268號,飯店大廳，櫃檯左前方,22.637695,120.304622,(07)2370117,
交通部臺灣鐵路管理局高雄運務段高雄站,64000050,建國二路318號,1月台行車室旁,22.640043,120.301414,(07)2371507,
交通部臺灣鐵路管理局高雄運務段高雄站,64000050,建國二路318號,東售票口1號窗口旁,22.63998,120.301734,(07)2371507,
交通部臺灣鐵路管理局高雄運務段高雄站,64000050,建國二路318號,西側剪票口旁,22.639843,120.301628,(07)2371507,
交通部臺灣鐵路管理局高雄運務段高雄站,64000050,建國二路318號,2月台行車室旁,22.640008,120.30181,(07)2371507,
華園飯店股份有限公司,64000070,六合二路279號,"飯店一樓經過櫃台,在真龍餐廳門口外牆上",22.629132,120.290915,(07)2410123,
高雄市李科永紀念圖書館,64000070,民生二路37號,從館內往外看，AED位於大門口左側牆面上,22.625541,120.298495,(07)2610005,
大立百貨,64000070,五福三路59號,服務中心休息區,22.621712,120.297488,(07)2613060,2105
大立精品,64000070,五福三路57號,走道旁,22.621679,120.298294,(07)2613060,2105
財團法人國家實驗研究院台灣海洋科技研究中心,64000070,河南二路196號,進入本大樓正門後，通過右方10公尺處之玻璃門，右手邊即是設置AED之茶水間。,22.63253,120.288062,(07)2618688,111
高雄市鳳山區新甲國民小學,64000120,新富路255號,"至真樓一樓文化走廊在正門口一進門處,是人潮來往地點",22.61297,120.340042,(07)2624716,
實踐大學高雄校區,64000080,苓南路2號,推廣教育部高雄中心,22.613208,120.294003,(07)2696666,
高雄市政府警察局婦幼警察隊,64000070,中正四路246號,婦幼警察隊部1樓值班台右側牆壁,22.628157,120.29141,(07)2716658,
香港商世界健身事業有限公司高雄中華分公司,64000070,中華三路149號1樓,一樓大門左手邊，靠近客服櫃台旁邊。,22.6305,120.295258,(07)2722000,
香港商世界健身事業有限公司高雄中華分公司,64000070,中華三路149號1樓,四樓教練櫃台旁,22.625416,120.294536,(07)2722000,
家福股份有限公司高雄愛河分公司,64000050,河東路356號,B1收銀結帳12號機出口旁。,22.63403,120.285928,(07)2725066,
高雄市立前金國中,64000070,六合二路278號,前金國中進校園玄關右側,22.629388,120.290555,(07)27259813,6
新興高中,64000060,五福二路218號,學校大門口玄關右側,22.624417,120.304169,(07)2727127,2042
海洋委員會海巡署東南沙分署東沙指揮部,64000100,高雄市旗津區中興里18鄰東沙1號,值班台旁,20.699634,116.724718,(07)2771001,
海洋委員會海巡署東南沙分署南沙指揮部,64000100,中興里18鄰南沙1號,值班桌旁牆面,10.375766,114.364248,(07)2781001,
高雄市三民國民小學,64000050,建國三路216號,"紅樓一樓健康中心旁,右邊川堂",22.636541,120.291342,(07)2810378,24
健身工廠五福廠,64000060,五福二路262號3樓,3F教練部櫃台旁,22.623464,120.301377,(07)2813838,
健身工廠博愛廠,64000030,博愛三路102號,3F教練部前面柱子,22.673214,120.304943,(07)2813838,
高都豐田汽車青年服務廠,64000060,青年一路328號,客休室入口櫃檯旁,22.62143,120.305988,(07)2827181,
國立中山大學,64000020,蓮海路70號,游泳池位於操場和網球場的附近約50公尺的地方，AED放在1樓服務台,22.623132,120.263911,(07)2833000,
交通部臺灣鐵路管理局高雄運務段三塊厝站,64000050,德北里康平街1 號,售票口旁,22.639363,120.294027,(07)2856234,
高雄市立高雄高級中學,64000050,建國三路50號,"近運動場西側,綜合大樓1樓中庭",22.639097,120.298534,(07)2861730,
高雄市立高雄高級中學,64000050,建國三路50號,高雄中學體育館1樓 進大門上樓梯左側,22.63832,120.299429,(07)2861730,
高雄市立高雄高級中學,64000050,建國三路50號,高雄中學 軍訓大樓1樓 進門右側牆上,22.638125,120.298373,(07)2861730,
和泰汽車高雄服務廠,64000170,高楠公路94號,一樓樓梯入口處,22.711875,120.325816,(07)3103432,
